ID,Received,Sold,Left,Sales Percentage
US22103-CAFÉ,6,3,3,50%
US22103-TAS-KAKI,3,3,0,100%
US22103-VISON-BEIGE,3,0,3,0%
US22103-NOIR,3,0,3,0%
US22103-BEIGE,6,2,4,33%
US22103-BEIGE-ROSE,3,3,0,100%
US22104-NOIR,4,0,4,0%
US22104-CAFÉ,4,3,1,75%
US22104-TAS-BLANC,4,3,1,75%
US22105-TAS,5,3,2,60%
US22105-NOIR,5,1,4,20%
US22105-BEIGE,4,2,2,50%
US22105-CAFÉ,6,3,3,50%
US22107-CAFÉ,4,1,3,25%
US22107-BEIGE-ROSE,5,2,3,40%
US22109-CAFÉ,6,1,5,17%
US22109-TAS,6,0,6,0%
US22109-NOIR,6,1,5,17%
US22109-BEIGE,6,1,5,17%
US22111-BEIGE-ROSE,4,4,0,100%
US22111-TAS,4,2,2,50%
US22111-NOIR,3,0,3,0%
US22112-TAS,3,3,0,100%
US22112-NOIR,3,2,1,67%
US22113-BLANC-GRIS,3,3,0,100%
US22113-NOIR,3,2,1,67%
US22113-TAS-KAKI,3,0,3,0%
US22114-CAFÉ,8,2,6,25%
US22114-TAS-BLANC,6,4,2,67%
US22114-BEIGE-ROSE,8,7,1,88%
US22114-NOIR,8,0,8,0%
US22115-TAS,8,8,0,100%
US22116-CAFÉ,6,3,3,50%
US22116-TAS-KAKI,6,4,2,67%
US22119-TAS-KAKI,6,2,4,33%
US22122-TAS-KAKI,3,2,1,67%
US22122-BEIGE,3,3,0,100%
US22123-TAS-KAKI,4,3,1,75%
US22127-CAFÉ,1,1,0,100%
US22127-TAS,3,0,3,0%
US22128-BEIGE-ROSE,8,6,2,75%
US22128-TAS-KAKI,8,7,1,88%
US22128-NOIR,4,1,3,25%
US22129-TAS-BLANC,3,1,2,33%
US22129-BEIGE,3,2,1,67%
US22129-CAFÉ,3,0,3,0%
US22129-NOIR,3,0,3,0%
US22132-TAS-KAKI,6,1,5,17%
US22132-NOIR,6,1,5,17%
US22132-BEIGE,4,0,4,0%
US22132-CAFÉ,6,1,5,17%
US22136-NOIR,6,0,6,0%
US22136-CAFÉ,6,0,6,0%
US22136-BEIGE-ROSE,5,4,1,80%
US22137-BEIGE-ROSE,6,0,6,0%
US22137-TAS-KAKI,4,0,4,0%
US22137-NOIR,1,0,1,0%
US22137-CAFÉ,2,0,2,0%
US22138-CAFÉ,4,2,2,50%
US22138-BLANC-GRIS,4,0,4,0%
US22138-BEIGE,4,1,3,25%
US22138-NOIR,4,1,3,25%
US22138-TAS-KAKI,4,2,2,50%
US22140-NOIR,6,1,5,17%
US22145-TAS,4,0,4,0%
US22145-BEIGE,4,0,4,0%
US22145-CAFÉ,4,0,4,0%
US22151-NOIR,6,1,5,17%
US22151-CAFÉ-TABA,6,3,3,50%
US22151-BEIGE,6,6,0,100%
US22154-CAFÉ-TABA,5,2,3,40%
US22154-NOIR,1,0,1,0%
US22154-BEIGE,4,4,0,100%
US22155-NOIR,3,0,3,0%
US22155-CAFÉ-TABA,4,0,4,0%
US22155-BEIGE,4,1,3,25%
US22190-ROUGE-BLEU-BLANC,5,5,0,100%
US22190-GRIS-BLANC-BLEU,5,2,3,40%
US22193-BLEU-BLANC-ROUGE,6,4,2,67%
US22193-TAS-BLANC-NOIR,6,2,4,33%
US22196-BLEU-BLANC-ROUGE,6,3,3,50%
US22197-BLEU-ROUGE,10,7,3,70%
US22197-BLANC-BLEU,4,2,2,50%
US22206-BLEU-ROUGE,10,8,2,80%
US22207-BLANC-BLEU,2,2,0,100%
US22207-NOIR,5,5,0,100%
US22215-TAS-KAKI,11,10,1,91%
US22215-NOIR,1,1,0,100%
US22215-BLEU-BLANC-ROUGE,12,11,1,92%
US22217-TAS-KAKI,6,3,3,50%
US22217-BLEU-ROUGE-BLANC,4,3,1,75%
US22223-BLEU-ROUGE,6,6,0,100%
US22223-NOIR,6,1,5,17%
US22253-BLEU,7,1,6,14%
US22253-BEIGE-TABA,6,2,4,33%
US22253-KAKI,6,0,6,0%
US22255-KAKI,4,3,1,75%
US22255-BEIGE-TABA,4,1,3,25%
US22255-BLEU,4,1,3,25%
